Contry code,Product name,Value
AU,Paddy rice,1
AU,Wheat,1
AU,Cereal grains nec,1
AU,"Vegetables, fruit, nuts",1
AU,Oil seeds,1
AU,"Sugar cane, sugar beet",1
AU,Plant-based fibers,1
AU,Crops nec,1
AU,Cattle,1
AU,Pigs,1
AU,Poultry,1
AU,Meat animals nec,1
AU,Animal products nec,1
AU,Raw milk,1
AU,"Wool, silk-worm cocoons",1
AU,Manure (conventional treatment),1
AU,Manure (biogas treatment),1
AU,"Products of forestry, logging and related services (02)",1
AU,"Fish and other fishing products, services incidental of fishing (05)",1
AU,"Coal, lignite and peat",1
AU,"Crude petroleum and services related to crude oil extraction, excluding surveying",1
AU,"Natural gas and services related to natural gas extraction, excluding surveying, inclulding liquid gas",1
AU,Other Hydrocarbons,1
AU,Uranium and thorium ores (12),1
AU,Iron ores,1
AU,Copper ores and concentrates,1
AU,Nickel ores and concentrates,1
AU,Aluminium ores and concentrates,1
AU,Precious metal ores and concentrates,1
AU,"Lead, zinc and tin ores and concentrates",1
AU,Other non-ferrous metal ores and concentrates,1
AU,Stone,1
AU,Sand and clay,1
AU,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",1
AU,Products of meat cattle,1
AU,Products of meat pigs,1
AU,Products of meat poultry,1
AU,Meat products nec,1
AU,products of Vegetable oils and fats,1
AU,Dairy products,1
AU,Processed rice,1
AU,Sugar,1
AU,Food products nec,1
AU,Beverages,1
AU,Fish products,1
AU,Tobacco products (16),1
AU,Textiles (17),1
AU,"Wearing apparel, furs (18)",1
AU,Leather and leather products (19),1
AU,"Wood and products of wood and cork (except furniture), articles of straw and plaiting materials (20)",1
AU,"Wood material for treatment, Re-processing of secondary wood material into new wood material",1
AU,Pulp,1
AU,"Secondary paper for treatment, Re-processing of secondary paper into new pulp",1
AU,Paper and paper products,1
AU,Printed matter and recorded media (22),1
AU,Coke oven products,1
AU, Refined Petroleum,1
AU,Nuclear fuel,1
AU,"Plastics, basic",1
AU,"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic",1
AU,N-fertiliser,1
AU,P- and other fertiliser,1
AU,"Chemicals nec, additives and biofuels",1
AU,Rubber and plastic products (25),1
AU,Glass and glass products,1
AU,"Secondary glass for treatment, Re-processing of secondary glass into new glass",1
AU,Ceramic goods,1
AU,"Bricks, tiles and construction products, in baked clay",1
AU,"Cement, lime and plaster",1
AU,"Ash for treatment, Re-processing of ash into clinker",1
AU,Other non-metallic mineral products,1
AU,Basic iron and steel and of ferro-alloys and first products thereof,1
AU,"Secondary steel for treatment, Re-processing of secondary steel into new steel",1
AU,Precious metals,1
AU,"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals",1
AU,Aluminium and aluminium products,1
AU,"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium",1
AU,"Lead, zinc and tin and products thereof",1
AU,"Secondary lead for treatment, Re-processing of secondary lead into new lead",1
AU,Copper products,1
